image_name,annotation,human_sentiment,sentiment
nm1055413_rm704041984_1977-4-2_2014.jpg,The man is running from something,Neutral,Neutral
nm0000113_rm1310297088_1964-7-26_2006.jpg,The worried woman is carrying for the other woman,Positive,Negative
nm0001713_rm271353088_1970-6-4_1995.jpg,The man and the woman are trying to protect themselves,Positive,Positive
nm4237013_rm663142144_1985-0-0_2003.jpg,The man is flirting with the woman,Positive,Positive
nm0000113_rm1350277376_1964-7-26_2007.jpg,The man and the woman are surprised by something,Positive,Positive
nm3762213_rm4116362752_1987-4-10_2010.jpg,The group of women are discussing something,Neutral,Neutral
nm1567113_rm1866694656_1977-3-24_2010.jpg,The man is trying to shoot the other man,Negative,Negative
nm0330913_rm1313653248_1974-8-14_2010.jpg,The surprised man having a call,Positive,Positive
nm0533013_rm2053556224_1930-5-20_1974.jpg,Two men are discussing something,Neutral,Neutral
nm1055413_rm342143744_1977-4-2_2011.jpg,The exhausted man is looking for something,Negative,Negative
nm3762213_rm2357198592_1987-4-10_2010.jpg,The woman is crying,Negative,Negative
nm0277213_rm492798208_1971-3-27_2009.jpg,The man is scared by the woman,Negative,Negative
nm1897713_rm974297600_1984-3-25_2002.jpg,The man and the woman are having fun,Positive,Positive
nm1897713_rm3393500672_1984-3-25_2012.jpg,The woman is flirting with somebody,Positive,Positive
nm0392913_rm905820160_1957-4-20_2010.jpg,The group of people are having fun,Positive,Positive
nm1055413_rm1467989248_1977-4-2_2011.jpg,The woman is flirting with the man,Positive,Positive
nm4237013_rm786087424_1985-0-0_2003.jpg,The man is kissing the woman's hand,Positive,Positive
nm0277213_rm905174016_1971-3-27_2009.jpg,The woman is trying to shoot somebody,Negative,Negative
nm0364813_rm1272561152_1961-8-24_2010.jpg,The man is annoyed by somebody,Negative,Negative
nm0809613_rm3962411264_1951-7-10_2005.jpg,The woman is interrupted by something,Negative,Negative
nm0000113_rm142121472_1964-7-26_1998.jpg,The woman is laughing,Positive,Positive
nm3762213_rm1504162304_1987-4-10_2010.jpg,The woman is flirting with the man,Positive,Positive
nm0000413_rm2272049920_1964-9-28_2011.jpg,The worried woman is talking with the man,Negative,Negative
nm0598413_rm859753472_1964-8-11_1982.jpg,The group of people are having fun,Positive,Positive
nm0603413_rm4195530496_1977-4-25_2012.jpg,The scared woman is being calmed down,Negative,Negative
nm0277213_rm2333585152_1971-3-27_2009.jpg,The woman is kissing the man,Positive,Positive
nm4237013_rm3576872704_1985-0-0_2003.jpg,The man is kissing the woman,Positive,Positive
nm0000213_rm2551027712_1971-10-29_1996.jpg,The woman is scared by the man,Negative,Negative
nm0959113_rm727298816_1968-10-16_2008.jpg,The group of people are investigating something,Neutral,Neutral
nm0000113_rm249731328_1964-7-26_2002.jpg,The man and the woman are investigating something,Neutral,Neutral
nm3762213_rm2372829184_1987-4-10_2010.jpg,Two women are investigating something,Neutral,Neutral
